,사업장명,업태구분명,업소URL,지번주소,도로명주소,대표메뉴,가격정보,메뉴라벨링,외식비
225,이모네 술상,한식,1093211957,서울특별시 동작구 상도동 363-164 상도 휴엔하임,서울특별시 동작구 상도로15길 131 지하1층 B107호 (상도동),,,,
226,더진국 중앙대점,한식,1326895559,서울특별시 동작구 흑석동 190-26번지 ,서울특별시 동작구 흑석로 83-1 지상1층 (흑석동),,,,
227,삼첩분식,한식,1834085248,서울특별시 동작구 사당동 162-104 ,서울특별시 동작구 사당로27길 92 지하1층 (사당동),,,,
228,장성식당,한식,1259780498,서울특별시 동작구 노량진동 312-6번지 장성그랜드사우나 지하2층 ,서울특별시 동작구 장승배기로 113 (노량진동장성그랜드사우나 지하2층),,,,
229,다솔김밥,한식,1930964885,서울특별시 동작구 사당동 1018-31번지 ,서울특별시 동작구 사당로30길 72 (사당동),냉면,6500원,,
230,남도전집,한식,1300069136,서울특별시 동작구 사당동 1041-26 ,서울특별시 동작구 사당로30길 158-4 1층 (사당동),,,,
231,금강식당,한식,20842047,서울특별시 동작구 상도동 196-90번지 ,서울특별시 동작구 상도로22길 25 (상도동),,,,
232,황토방식당,한식,1628787387,서울특별시 동작구 흑석동 53-4,서울특별시 동작구 서달로12나길 11 (흑석동),,,,
233,자매식당,한식,20845811,서울특별시 동작구 신대방동 363번지 ,서울특별시 동작구 여의대방로22길 48 (신대방동),,,,
234,우리포차,한식,1204724406,서울특별시 동작구 상도동 195-46 ,서울특별시 동작구 상도로22길 10 1층 (상도동),,,,
235,커피가지고요,한식,1846433884,서울특별시 동작구 노량진동 259-1 행운이발관 ,서울특별시 동작구 노량진로8길 32 지1층 (노량진동),,,,
236,우리집,한식,35085177,서울특별시 동작구 사당동 89-59 ,서울특별시 동작구 동작대로29가길 9 (사당동),,,,
237,현대옥 노량진점,한식,21783142,서울특별시 동작구 노량진동 124-9번지 ,서울특별시 동작구 만양로14길 21 (노량진동),,,,
238,마포집,한식,36745028,서울특별시 동작구 사당동 133-4 ,서울특별시 동작구 동작대로27길 6 (사당동),,,,
239,성대순대촌,한식,38522497,서울특별시 동작구 상도동 322-15번지 2층 ,서울특별시 동작구 국사봉1길 24 2층 (상도동),삼계탕,12000원,,
240,서울통닭&닭발,한식,1687224819,서울특별시 동작구 노량진동 119-75 ,서울특별시 동작구 만양로 89 (노량진동),,,,
241,낙지한마리수제비상도,한식,18756024,서울특별시 동작구 상도동 527 브라운스톤상가  B207호 ,서울특별시 동작구 상도로31길 19 (상도동 브라운스톤상가  B207호),,,,
242,옹심이쇠고기국수집,한식,1122425306,서울특별시 동작구 사당동 89-10번지 ,서울특별시 동작구 동작대로29가길 20 1층 (사당동),들깨칼국수,5000원,,
243,김가보쌈,한식,20853499,서울특별시 동작구 대방동 415-6번지 ,서울특별시 동작구 여의대방로24가길 10 (대방동),김치찌개,5000원,,
244,영광족발,한식,20930224,서울특별시 동작구 상도동 322-15 ,서울특별시 동작구 국사봉1길 24 (상도동),,,,
245,한강생고기,한식,19029028,서울특별시 동작구 흑석동 269-3번지 ,서울특별시 동작구 현충로 144 (흑석동),,,,
246,고추찜닭,한식,13496481,서울특별시 동작구 사당동 139-88 ,서울특별시 동작구 동작대로27가길 14 (사당동),,,,
247,거구장,한식,18714831,서울특별시 동작구 흑석동 184-19번지 ,서울특별시 동작구 흑석로 101-7 (흑석동),물냉면,8000원,,
248,의정부부대찌개,한식,19039477,서울특별시 동작구 신대방동 498-49 ,서울특별시 동작구 여의대방로 82 지상1층 (신대방동),,,,
249,샤우,중국식,13535541,서울특별시 동작구 신대방동 395-69 보라매아카데미타워 (제210호212호) ,서울특별시 동작구 보라매로5가길 16 (신대방동보라매아카데미타워 (제210호212호)),샤우짜장,6000원,,
250,타이거짬뽕,중국식,645770902,서울특별시 동작구 사당동 1040-2번지 ,서울특별시 동작구 동작대로7길 55 1층 (사당동),,,,
251,중국관,중국식,1169520702,서울특별시 동작구 노량진동 221-62번지 1층 ,서울특별시 동작구 만양로 65-1 1층 (노량진동),짜장면,"4,500원",자장면,6300
252,대궁,중국식,279956796,서울특별시 동작구 신대방동 708번지 해태보라매타워 ,서울특별시 동작구 보라매로3길 29 지하1층 567849호 (신대방동 해태보라매타워),,,,
