,사업장명,업태구분명,업소URL,지번주소,도로명주소,대표메뉴,가격정보,메뉴라벨링,외식비
73,원할머니보쌈보라매점,한식,12929119,서울특별시 동작구 신대방동 395-69 아카데미218호 ,서울특별시 동작구 보라매로5가길 16 (신대방동아카데미218호),,,,
74,오뎅수산,한식,1601368764,서울특별시 동작구 상도동 208-10 1층 ,서울특별시 동작구 장승배기로 5 (상도동 1층),,,,
75,훈장골,한식,37918939,서울특별시 동작구 사당동 1043-13 ,서울특별시 동작구 동작대로 7 (사당동),물냉면,"10,000원",냉면,10423
76,옛날 보리밥집,한식,1465306422,서울특별시 동작구 흑석동 95-16번지 ,서울특별시 동작구 서달로12가길 7 (흑석동),김치찌개 ,8000원,,
77,김밥짱,한식,1737984190,서울특별시 동작구 신대방동 707 현대아파트상가 B동 120호,서울특별시 동작구 여의대방로 28 (신대방동),,,,
78,무안수산,한식,20861257,서울특별시 동작구 사당동 1038-35번지 ,서울특별시 동작구 동작대로7길 62-1 1층 (사당동),,,,
79,남도추어탕,한식,45120830,서울특별시 동작구 상도동 246-1 ,서울특별시 동작구 성대로1길 10 (상도동),,,,
80,포마토김밥,한식,18765663,서울특별시 동작구 신대방동 347-13 ,서울특별시 동작구 보라매로 106 (신대방동),치즈김밥,3500원,김밥,
81,서일식당,한식,12026971,서울특별시 동작구 신대방동 367-33,서울특별시 동작구 여의대방로22길 20 2층 (신대방동),,,,
82,사당아바이 순대,한식,1268906518,서울특별시 동작구 사당동 1001-1 ,서울특별시 동작구 사당로 260 (사당동),,,,
83,고바우식당,한식,19994264,서울특별시 동작구 신대방동 690-2 ,서울특별시 동작구 대림로 42 (신대방동),,,,
84,처갓집양념치킨 대방점,한식,11782563,서울특별시 동작구 대방동 11-51번지 ,서울특별시 동작구 등용로 72 1층 (대방동),,,,
85,상도곱창,한식,19877403,서울특별시 동작구 상도동 488 ,서울특별시 동작구 상도로 357 (상도동),,,,
86,기장산꼼장어,한식,1806324838,서울특별시 동작구 사당동 708-988번지 1층 ,서울특별시 동작구 동작대로25길 54 (사당동 1층),,,,
87,고바우,한식,18751294,서울특별시 동작구 노량진동 85-37 ,서울특별시 동작구 노량진로14가길 16 (노량진동),,,,
88,순남시래기,한식,983271561,서울특별시 동작구 신대방동 708 ,서울특별시 동작구 보라매로3길 29 상가동 2층 44 45호 (신대방동 해태보라매타워),,,,
89,종로계림닭도리탕원조 보라매공원점,한식,1151900476,서울특별시 동작구 신대방동 395-69번지 보라매아카데미타워 ,서울특별시 동작구 보라매로5가길 16 216호 (신대방동 보라매아카데미타워),,,,
90,빙맥덕후,한식,1434907478,서울특별시 동작구 흑석동 182-14,서울특별시 동작구 흑석로 110-1 (흑석동),,,,
91,연가,한식,148361992,서울특별시 동작구 노량진동 119-74번지 (1층) ,서울특별시 동작구 만양로 89-1 (노량진동(1층)),,,,
92,장가네장어탕,한식,1851016983,서울특별시 동작구 사당동 1006-12번지 ,서울특별시 동작구 동작대로21길 16 (사당동),,,,
93,이고집쭈꾸미,한식,562281233,서울특별시 동작구 신대방동 361-57 ,서울특별시 동작구 여의대방로22길 80 1층 (신대방동),,,,
94,곱창의 전설,한식,35495005,서울특별시 동작구 흑석동 190-41번지 1층 ,서울특별시 동작구 흑석로 87 (흑석동 1층),,,,
95,노량진 생고기,한식,37615390,서울특별시 동작구 노량진동 117-16번지 ,서울특별시 동작구 만양로 108 (노량진동),,,,
96,남도식당,한식,1144672727,서울특별시 동작구 신대방동 618-25번지 ,서울특별시 동작구 신대방길 12 1층 (신대방동),,,,
97,낙지세상,한식,34505774,서울특별시 동작구 신대방동 686-74번지 1층 ,서울특별시 동작구 대림로 57 (신대방동 1층),,,,
98,빽다방노량진학원점,한식,38232302,서울특별시 동작구 노량진동 119-155 ,서울특별시 동작구 만양로 94-2 (노량진동),,,,
99,5시 해장국,한식,1776826979,서울특별시 동작구 사당동 141-186 ,서울특별시 동작구 사당로27길 16 (사당동),,,,
100,명동찌개마을,한식,183662071,서울특별시 동작구 상도동 365-1번지 1층 ,서울특별시 동작구 상도로 177-1 1층 (상도동),뚝배기김치찌개,6000원,김치찌개백반,
101,다채,한식,20419409,서울특별시 동작구 대방동 354-1 지하1층 113호114호 ,서울특별시 동작구 알마타길 6 (대방동지하1층 113호114호),,,,
102,돌솥밥 생선구이,한식,1039228716,서울특별시 동작구 신대방동 357-4 ,서울특별시 동작구 여의대방로22길 112 1층 (신대방동),,,,
103,백채김치찌개,한식,36413870,서울특별시 동작구 상도동 505-8 ,서울특별시 동작구 상도로61길 35 (상도동),백채찌개,14000원,,
104,황제식당,한식,1049331448,서울특별시 동작구 노량진동 13-6 ,서울특별시 동작구 노들로 674 지상2층 10호 (노량진동),,,,
105,초반식당,한식,1608611702,서울특별시 동작구 흑석동 181-11번지 ,서울특별시 동작구 흑석로 111 2층 (흑석동),숙성삼겹살 170g,"13,000원",삼겹살,18056
106,가야,한식,19867500,서울특별시 동작구 상도1동 642-1 ,서울특별시 동작구 양녕로 286-1 (상도1동),,,,
107,어부사시가,한식,1211577504,서울특별시 동작구 흑석동 181-1 ,서울특별시 동작구 서달로15길 23 1층 (흑석동),,,,
108,제주토종흑돼지,한식,20911017,서울특별시 동작구 사당동 145-30 ,서울특별시 동작구 동작대로27가길 37 (사당동),,,,
109,고기극찬 동작점,한식,1165514398,서울특별시 동작구 상도1동 389-12 ,서울특별시 동작구 상도로 296-2 1층 (상도1동),,,,
110,어매순대국,한식,20933938,서울특별시 동작구 상도동 360-67 ,서울특별시 동작구 상도로15길 99 1층 (상도동),냉면,"6,000원",냉면,10423
111,만두명가(담원),한식,1681317286,서울특별시 동작구 사당동 89-69 삼성상가 ,서울특별시 동작구 동작대로29길 18 삼성상가 1층 8호 (사당동),,,,
112,이고시다,한식,12859870,서울특별시 동작구 신대방동 358-10 ,,,,,
113,큰집돌솥추어탕,한식,1889508745,서울특별시 동작구 대방동 393-67 ,서울특별시 동작구 상도로 71 (대방동),,,,
114,예원,한식,924009241,서울특별시 동작구 상도동 208-34번지 ,서울특별시 동작구 양녕로27길 8 (상도동),,,,
115,고가네원조숯불구이통닭,한식,11666216,서울특별시 동작구 상도동 195-52 ,서울특별시 동작구 상도로22길 5 (상도동),,,,
116,구백냥곱창,한식,1405797351,서울특별시 동작구 상도동 463-2 ,서울특별시 동작구 상도로47길 4 107호 (상도동),,,,
117,골목식당,한식,1586077043,서울특별시 동작구 상도동 324-64 ,서울특별시 동작구 국사봉1길 43-1 (상도동),,,,
118,푸드딜리버리,한식,1491244405,서울특별시 동작구 상도1동 804-1 제일부동산 ,서울특별시 동작구 상도로38길 3-20 1층 (상도1동),,,,
119,민경호프,한식,20857551,서울특별시 동작구 사당동 88-20 ,서울특별시 동작구 동작대로29가길 10 (사당동),,,,
120,28청춘포차,한식,1327078841,서울특별시 동작구 상도동 504-1번지 ,서울특별시 동작구 상도로61길 48 (상도동),,,,
121,엄마손밥집,한식,341798928,서울특별시 동작구 상도동 496-6,서울특별시 동작구 상도로60길 9-1 1층 (상도동),생고기 김치찌개,7000원,,
122,순천식당,한식,310632672,서울특별시 동작구 상도동 369-6 ,서울특별시 동작구 장승배기로10길 9 (상도동),삼겹살,"13,000원",삼겹살,18056
123,불난떡볶이 노량진점,한식,36391579,서울특별시 동작구 노량진동 258-40번지 ,서울특별시 동작구 노량진로8길 36 (노량진동),,,,
124,돈주반,한식,766249557,서울특별시 동작구 상도동 208-2 ,서울특별시 동작구 장승배기로 10 (상도동),,,,
125,봉평메밀막국수,한식,19032866,서울특별시 동작구 사당동 300-77번지 ,서울특별시 동작구 사당로16길 74 (사당동),들깨칼국수,10000원,,
126,맘스,한식,1094986056,서울특별시 동작구 상도동 56-6번지 ,서울특별시 동작구 상도로53길 45 (상도동),,,,
127,황가네 곱창볶음,한식,36194495,서울특별시 동작구 상도동 255-3 두진빌딩 ,서울특별시 동작구 성대로 35 1층 (상도동),,,,
128,에스제이 에프앤비(SJ F&B),한식,1080088531,서울특별시 동작구 사당동 84-7 ,서울특별시 동작구 동작대로 151-8 1층 (사당동),고기고기 김치찌개 1인분,"8,500원",김치찌개백반,7423
129,우미경,한식,1842806562,서울특별시 동작구 대방동 416-4 ,서울특별시 동작구 여의대방로24가길 22 (대방동),,,,
130,왕돈까스 왕냉면,한식,37943780,서울특별시 동작구 상도동 504 ,서울특별시 동작구 상도로61가길 2 지층 (상도동),,,,
131,신나족발,한식,1573722635,서울특별시 동작구 대방동 23 ,서울특별시 동작구 등용로 124 (대방동),,,,
132,우림,한식,13137368,서울특별시 동작구 사당동 1033-34 ,서울특별시 동작구 동작대로7길 28 (사당동),,,,
133,동근이숯불두마리치킨 남성역점,한식,1111898250,서울특별시 동작구 사당동 267-36 ,서울특별시 동작구 사당로16가길 46 1층 우측호 (사당동),,,,
134,인생족보,한식,1670625330,서울특별시 동작구 상도동 328-10 ,서울특별시 동작구 국사봉1길 4 1층 (상도동),,,,
135,종로곱창,한식,1919414342,서울특별시 동작구 사당동 131-11번지 ,서울특별시 동작구 동작대로29길 13 (사당동),,,,
136,종로곱창,한식,1776503597,서울특별시 동작구 상도동 196-56번지 ,서울특별시 동작구 상도로22길 34 (상도동),,,,
137,마포숯불갈비,한식,1459786089,서울특별시 동작구 대방동 406-6,서울특별시 동작구 보라매로 112 (대방동),,,,
138,원할머니보쌈,한식,1716242487,서울특별시 동작구 흑석동 9-89 ,서울특별시 동작구 현충로 100-1 (흑석동),,,,
139,소망식당,한식,1506542854,서울특별시 동작구 상도동 331-43 1층 ,서울특별시 동작구 상도로15길 17 (상도동1층),,,,
140,국민낙곱새 이수점,한식,1870934751,서울특별시 동작구 사당동 318-42 ,서울특별시 동작구 사당로18길 24 1층 102호 (사당동),,,,
141,밀양손만두,한식,1347261647,서울특별시 동작구 사당동 324-4,서울특별시 동작구 사당로 259 1층 (사당동),,,,
142,달길포차,한식,1442408791,서울특별시 동작구 사당동 1008-6번지 ,서울특별시 동작구 사당로30길 63 (사당동),,,,
143,삼시세끼,한식,1172441796,서울특별시 동작구 신대방동 698 신라스테이해링턴타워 ,서울특별시 동작구 시흥대로 596 신라스테이해링턴타워 오피스텔동 103호 (신대방동),,,,
144,여자만민물장어,한식,38712636,서울특별시 동작구 사당동 1041-9번지 ,서울특별시 동작구 남부순환로271길 18 (사당동),,,,
145,돌우물,한식,1116980647,서울특별시 동작구 사당동 72-12번지 ,서울특별시 동작구 동작대로33가길 27 지상1층 (사당동),,,,
146,참숯옛맛서울불고기,한식,1761748114,서울특별시 동작구 노량진동 196-3번지 ,서울특별시 동작구 노량진로 204 1층 (노량진동),,,,
147,미트 온라인 축산직판,한식,1558146710,서울특별시 동작구 사당동 224-52번지 ,서울특별시 동작구 사당로16가길 91 1층 (사당동),삼겹살(100g),"1,420원",삼겹살,18056
148,포앤그릴,한식,18705872,서울특별시 동작구 상도1동 625번지 ,서울특별시 동작구 양녕로 273 (상도1동),,,,
149,깡통,한식,1813358374,서울특별시 동작구 사당동 1029-26번지 ,서울특별시 동작구 동작대로7길 18-1 (사당동),,,,
150,명문본가왕족발과보쌈,한식,11669227,서울특별시 동작구 흑석동 90-1 ,서울특별시 동작구 서달로10가길 1 (흑석동),,,,
151,순천집,한식,11857246,서울특별시 동작구 노량진동 267-6 ,서울특별시 동작구 노량진로 80 2층 (노량진동 노량진큐브스테이트),,,,
152,노량진할머니파전,한식,13120218,서울특별시 동작구 노량진동 119-178번지 ,서울특별시 동작구 만양로 90 (노량진동),,,,
153,명태어장,한식,348015941,서울특별시 동작구 신대방동 344-23번지 ,서울특별시 동작구 보라매로 77 (신대방동),,,,
154,배달돼지 방배사당점,한식,1266186168,서울특별시 동작구 사당동 141-45 ,서울특별시 동작구 사당로29가길 28 1층 (사당동),삼겹살 오리지날 set,"19,900원",삼겹살,18056
155,성대포차,한식,509594020,서울특별시 동작구 상도동 347-9번지 1층 ,서울특별시 동작구 상도로 116 (상도동1층),,,,
156,바른황소곱창2호점,한식,1992951758,서울특별시 동작구 사당동 1040-35번지 ,서울특별시 동작구 남부순환로271길 25 지하1층 (사당동),,,,
157,족발천국,한식,1080837853,서울특별시 동작구 상도동 463-2 이화빌딩 ,서울특별시 동작구 상도로47길 4 104호 (상도동),,,,
158,강원도감자탕.쌈밥,한식,1725959106,서울특별시 동작구 사당동 1029-44 ,서울특별시 동작구 사당로30길 108 (사당동),,,,
159,진미 순대국,한식,20845950,서울특별시 동작구 사당동 257-26,서울특별시 동작구 사당로17나길 2 (사당동),,,,
160,달비촌 대구막창,한식,20903590,서울특별시 동작구 사당동 1039-15 ,서울특별시 동작구 동작대로1길 52 (사당동),,,,
161,후통&쟁반집 이수점,한식,1002714897,서울특별시 동작구 사당동 88-22 ,서울특별시 동작구 동작대로29가길 11 1층 (사당동),삼겹살 목살 항정살 냉삼겹 짜장면,"10,900원",자장면,6300
162,후통&쟁반집 이수점,한식,1002714897,서울특별시 동작구 사당동 88-22 ,서울특별시 동작구 동작대로29가길 11 1층 (사당동),삼겹살 목살 항정살 냉삼겹 짜장면,"10,900원",삼겹살,18056
163,궁중삼계탕,한식,18744647,서울특별시 동작구 신대방동 395-66 117호 118호 ,서울특별시 동작구 보라매로5길 43 (신대방동117호 118호),한방삼계탕,"16,000원",삼계탕,15385
164,광주식당,한식,1556959469,서울특별시 동작구 노량진동 29-7번지 ,서울특별시 동작구 노량진로 86-1 (노량진동),,,,
165,흑돈연가,한식,1306716352,서울특별시 동작구 신대방동 719 성원상떼빌 105동 112호,서울특별시 동작구 신대방1가길 38 105동 112호 (신대방동성원상떼빌),,,,
166,본죽앤비빔밥 노량진점,한식,18751710,서울특별시 동작구 노량진동 120-6번지 문화독서실 ,서울특별시 동작구 만양로 81 1층 (노량진동),해물 약고추장비빔밥,"10,000원",비빔밥,9654
167,상도동함흥면옥,한식,1574222088,서울특별시 동작구 상도동 26-11 1층 ,서울특별시 동작구 상도로 219 (상도동 1층),회냉면,"11,000원",냉면,10423
168,원조부안집 이수점,한식,1232765692,서울특별시 동작구 사당동 147-69 ,서울특별시 동작구 동작대로27가길 39 (사당동),,,,
169,상도해물찜.동태찜,한식,13160267,서울특별시 동작구 상도동 188-31 ,서울특별시 동작구 상도로 150 (상도동),,,,
170,남원추어탕,한식,37943784,서울특별시 동작구 대방동 501 대림아파트상가 지하1층 14호,서울특별시 동작구 여의대방로44길 10 (대방동),,,,
171,삼촌네이층집,한식,1032688886,서울특별시 동작구 대방동 407-37번지 ,서울특별시 동작구 여의대방로24길 131 2층 (대방동),,,,
172,배밭골,한식,18744729,서울특별시 동작구 신대방동 395-62 삼성보라매옴니타워 지하동 115호,서울특별시 동작구 보라매로5길 23 지하동 115호 (신대방동삼성보라매옴니타워),,,,
173,프레퍼스 다이어트푸드 노량진점,한식,1443079665,서울특별시 동작구 노량진동 70-15,서울특별시 동작구 노량진로 152 1층 (노량진동),,,,
174,할머니 추어탕,한식,34754062,서울특별시 동작구 상도동 356번지 (1층) ,서울특별시 동작구 상도로 133 (상도동(1층)),,,,
175,코웍비스트로,한식,34745009,서울특별시 동작구 상도동 505번지 지하1층 ,서울특별시 동작구 사당로 30 (상도동 지하1층),,,,
176,홍어집,한식,101153503,서울특별시 동작구 상도동 181-13 1층 ,서울특별시 동작구 장승배기로 69 (상도동 1층),,,,
177,영주네,한식,20838259,서울특별시 동작구 사당동 88-7,서울특별시 동작구 동작대로29가길 15 1층 (사당동),,,,
178,동궁찜닭 사당점,한식,1976696021,서울특별시 동작구 사당동 39-16,서울특별시 동작구 동작대로35길 12 1층 (사당동),,,,
179,삼호정,한식,1493009891,서울특별시 동작구 신대방동 361-42 ,서울특별시 동작구 여의대방로24길 50 1층 (신대방동),,,,
180,이모네,한식,20510599,서울특별시 동작구 상도동 508-4번지 ,서울특별시 동작구 사당로 42 (상도동),,,,
181,경복궁 함흥냉면,한식,1336126783,서울특별시 동작구 사당동 130-13 ,서울특별시 동작구 동작대로27길 16-7 1층 (사당동),,,,
182,소림마라 동작점,한식,1402976461,서울특별시 동작구 노량진동 118-18 ,서울특별시 동작구 만양로14가길 1 (노량진동),,,,
183,노랑통닭,한식,38419604,서울특별시 동작구 흑석동 184-24번지 ,서울특별시 동작구 흑석로 101-3 (흑석동),,,,
